Date,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses & coaches,Other vehicles,Total,All ULEVs,ULEV cars,"Plug-in Grant Eligible Cars and Vans 5,6","Plug-in Non Grant Eligible Cars and Vans 5,6"
Sep-04,434.4,14.8,47.2,5.4,1.7,3.9,507.3,,,,
Oct-04,171.8,9.8,29.4,4.9,1.1,3.1,220.1,,,,
Nov-04,175.6,9.2,28.9,5.3,0.9,2.8,222.7,,,,
Dec-04,149.5,6.6,24.8,3.6,1.1,2.2,187.8,,,,
Jan-05,180,6.1,22.5,3.7,0.9,2.6,215.7,,,,
Feb-05,77.5,5.5,16,3.3,0.7,2.3,105.3,,,,
Mar-05,440.4,15.4,48.9,5.9,1.6,5,517.3,,,,
Apr-05,178.9,14.4,27.9,5,1.2,4.6,232,,,,
May-05,189.2,13.5,26.2,5.2,1.2,4.2,239.4,,,,
Jun-05,226.3,15.6,30.2,5.2,1.4,4.1,282.8,,,,
Jul-05,175.3,13.6,23.6,4.9,0.9,4.4,222.7,,,,
Aug-05,84.2,10.8,15.7,3.9,0.6,3.2,118.5,,,,
Sep-05,417.6,16,45.5,6,1.7,4,490.8,,,,
Oct-05,153.9,9.6,24.8,4.9,1,3.1,197.3,,,,
Nov-05,160.8,8.7,25.7,5.1,1,2.9,204.3,,,,
Dec-05,159.2,6.4,22.8,3.8,1,2.2,195.3,,,,
Jan-06,154,6.6,21.6,3.7,0.8,2.5,189.2,,,,
Feb-06,74.8,5.1,14.4,3.3,0.7,2.4,100.9,,,,
Mar-06,432.9,17,51.2,6.2,2.2,5.2,514.7,,,,
Apr-06,163,12.5,23.2,11.4,1.5,4.1,215.6,,,,
May-06,189,14.2,27.3,2.1,1.1,4.1,237.8,,,,
Jun-06,217.9,14.7,29.9,3,1,4.3,270.7,,,,
Jul-06,169.2,13.8,23.7,3.4,0.8,4.3,215.3,,,,
Aug-06,77.8,11,16.1,3.3,0.5,3.4,112.1,,,,
Sep-06,415.4,15,44.7,8.5,1.4,3.9,488.8,,,,
Oct-06,153.1,10,26.7,2.8,0.8,3.2,196.6,,,,
Nov-06,157.2,8.5,27.7,4,0.9,3.3,201.5,,,,
Dec-06,135.7,6.8,21.8,2.7,0.7,2.6,170.3,,,,
Jan-07,161.2,6.9,21.5,2.7,0.7,4,197,,,,
